time_s,body_x_m,o1,o2,support_legs,LF_hip_rad,LF_lift_m,LF_contact,LF_foot_world_x_m,RM_hip_rad,RM_lift_m,RM_contact,RM_foot_world_x_m,LH_hip_rad,LH_lift_m,LH_contact,LH_foot_world_x_m,RF_hip_rad,RF_lift_m,RF_contact,RF_foot_world_x_m,LM_hip_rad,LM_lift_m,LM_contact,LM_foot_world_x_m,RH_hip_rad,RH_lift_m,RH_contact,RH_foot_world_x_m
0.0,0.0,-0.8070945712136399,-0.16425410488312334,3,-0.44390201416750197,0.0,1,-0.044390201416750194,-0.44390201416750197,0.0,1,-0.044390201416750194,-0.44390201416750197,0.0,1,-0.044390201416750194,0.44390201416750197,0.0049276231464937,0,0.044390201416750194,0.44390201416750197,0.0049276231464937,0,0.044390201416750194,0.44390201416750197,0.0049276231464937,0,0.044390201416750194
0.05,-0.000954710885786296,-0.7897361914720709,-0.0008255259656596719,3,-0.434354905309639,0.0,1,-0.044390201416750194,-0.434354905309639,0.0,1,-0.044390201416750194,-0.434354905309639,0.0,1,-0.044390201416750194,0.434354905309639,2.476577896979016e-05,0,0.0424807796451776,0.434354905309639,2.476577896979016e-05,0,0.0424807796451776,0.434354905309639,2.476577896979016e-05,0,0.0424807796451776
0.1,-0.000954710885786296,-0.7642711925020756,0.20017368006151207,3,-0.42034915587614163,0.006005210401845362,0,-0.042989626473400454,-0.42034915587614163,0.006005210401845362,0,-0.042989626473400454,-0.42034915587614163,0.006005210401845362,0,-0.042989626473400454,0.42034915587614163,0.0,1,0.04108020470182786,0.42034915587614163,0.0,1,0.04108020470182786,0.42034915587614163,0.0,1,0.04108020470182786
0.15000000000000002,0.0011026192667338147,-0.7268651897289826,0.4238919690726036,3,-0.3997758543509405,0.012716759072178108,0,-0.03887496616836023,-0.3997758543509405,0.012716759072178108,0,-0.03887496616836023,-0.3997758543509405,0.012716759072178108,0,-0.03887496616836023,0.3997758543509405,0.0,1,0.04108020470182786,0.3997758543509405,0.0,1,0.04108020470182786,0.3997758543509405,0.0,1,0.04108020470182786
0.2,0.00405305919379325,-0.6732208274188112,0.621719176977503,3,-0.3702714550803462,0.01865157530932509,0,-0.03297408631424136,-0.3702714550803462,0.01865157530932509,0,-0.03297408631424136,-0.3702714550803462,0.01865157530932509,0,-0.03297408631424136,0.3702714550803462,0.0,1,0.04108020470182786,0.3702714550803462,0.0,1,0.04108020470182786,0.3702714550803462,0.0,1,0.04108020470182786
0.25,0.007938939344969434,-0.6025684610337896,0.7469398662921323,3,-0.3314126535685843,0.02240819598876397,0,-0.025202326011888994,-0.3314126535685843,0.02240819598876397,0,-0.025202326011888994,-0.3314126535685843,0.02240819598876397,0,-0.025202326011888994,0.3314126535685843,0.0,1,0.04108020470182786,0.3314126535685843,0.0,1,0.04108020470182786,0.3314126535685843,0.0,1,0.04108020470182786
0.30000000000000004,0.012541554485947765,-0.5188845493796381,0.8031028840385596,3,-0.285386502158801,0.024093086521156788,0,-0.015997095729932333,-0.285386502158801,0.024093086521156788,0,-0.015997095729932333,-0.285386502158801,0.024093086521156788,0,-0.015997095729932333,0.285386502158801,0.0,1,0.04108020470182786,0.285386502158801,0.0,1,0.04108020470182786,0.285386502158801,0.0,1,0.04108020470182786
0.35000000000000003,0.017709359295874378,-0.42492446192642697,0.820136725931346,3,-0.23370845405953486,0.02460410177794038,0,-0.005661486110079106,-0.23370845405953486,0.02460410177794038,0,-0.005661486110079106,-0.23370845405953486,0.02460410177794038,0,-0.005661486110079106,0.23370845405953486,0.0,1,0.04108020470182786,0.23370845405953486,0.0,1,0.04108020470182786,0.23370845405953486,0.0,1,0.04108020470182786
0.4,0.02358263140107612,-0.31813769637730444,0.8192954047584008,3,-0.17497573300751745,0.024578862142752022,0,0.006085058100324375,-0.17497573300751745,0.024578862142752022,0,0.006085058100324375,-0.17497573300751745,0.024578862142752022,0,0.006085058100324375,0.17497573300751745,0.0,1,0.04108020470182786,0.17497573300751745,0.0,1,0.04108020470182786,0.17497573300751745,0.0,1,0.04108020470182786
0.45,0.030556096360373135,-0.19134742439008598,0.8096522716042356,3,-0.1052410834145473,0.024289568148127067,0,0.02003198801891841,-0.1052410834145473,0.024289568148127067,0,0.02003198801891841,-0.1052410834145473,0.024289568148127067,0,0.02003198801891841,0.1052410834145473,0.0,1,0.04108020470182786,0.1052410834145473,0.0,1,0.04108020470182786,0.1052410834145473,0.0,1,0.04108020470182786
