time_s,body_x_m,o1,o2,support_legs,LF_hip_rad,LF_lift_m,LF_contact,LF_foot_world_x_m,RM_hip_rad,RM_lift_m,RM_contact,RM_foot_world_x_m,LH_hip_rad,LH_lift_m,LH_contact,LH_foot_world_x_m,RF_hip_rad,RF_lift_m,RF_contact,RF_foot_world_x_m,LM_hip_rad,LM_lift_m,LM_contact,LM_foot_world_x_m,RH_hip_rad,RH_lift_m,RH_contact,RH_foot_world_x_m
0.0,0.0,-0.026965330782974153,-0.5608626776309884,3,-0.014830931930635786,0.0,1,-0.0014830931930635784,-0.014830931930635786,0.0,1,-0.0014830931930635784,-0.014830931930635786,0.0,1,-0.0014830931930635784,0.014830931930635786,0.016825880328929652,0,0.0014830931930635784,0.014830931930635786,0.016825880328929652,0,0.0014830931930635784,0.014830931930635786,0.016825880328929652,0,0.0014830931930635784
0.05,0.006793732262101074,-0.15048773554844821,-0.5361652970047982,3,-0.08276825455164652,0.0,1,-0.0014830931930635784,-0.08276825455164652,0.0,1,-0.0014830931930635784,-0.08276825455164652,0.0,1,-0.0014830931930635784,0.08276825455164652,0.016084958910143946,0,0.015070557717265726,0.08276825455164652,0.016084958910143946,0,0.015070557717265726,0.08276825455164652,0.016084958910143946,0,0.015070557717265726
0.1,0.013496564721690057,-0.2723574166318843,-0.4968677044420164,3,-0.14979657914753636,0.0,1,-0.0014830931930635784,-0.14979657914753636,0.0,1,-0.0014830931930635784,-0.14979657914753636,0.0,1,-0.0014830931930635784,0.14979657914753636,0.014906031133260491,0,0.028476222636443692,0.14979657914753636,0.014906031133260491,0,0.028476222636443692,0.14979657914753636,0.014906031133260491,0,0.028476222636443692
0.15000000000000002,0.01951777339590339,-0.38183393798121756,-0.44314678690273707,3,-0.21000866588966968,0.0,1,-0.0014830931930635784,-0.21000866588966968,0.0,1,-0.0014830931930635784,-0.21000866588966968,0.0,1,-0.0014830931930635784,0.21000866588966968,0.013294403607082112,0,0.040518639984870354,0.21000866588966968,0.013294403607082112,0,0.040518639984870354,0.21000866588966968,0.013294403607082112,0,0.040518639984870354
0.2,0.02429907789696308,-0.46876674709139377,-0.37506139898340285,3,-0.25782171090026657,0.0,1,-0.0014830931930635784,-0.25782171090026657,0.0,1,-0.0014830931930635784,-0.25782171090026657,0.0,1,-0.0014830931930635784,0.25782171090026657,0.011251841969502085,0,0.050081248986989735,0.25782171090026657,0.011251841969502085,0,0.050081248986989735,0.25782171090026657,0.011251841969502085,0,0.050081248986989735
0.25,0.027555375974412943,-0.5279721666813912,-0.29305143475806883,3,-0.2903846916747652,0.0,1,-0.0014830931930635784,-0.2903846916747652,0.0,1,-0.0014830931930635784,-0.2903846916747652,0.0,1,-0.0014830931930635784,0.2903846916747652,0.008791543042742064,0,0.05659384514188946,0.2903846916747652,0.008791543042742064,0,0.05659384514188946,0.2903846916747652,0.008791543042742064,0,0.05659384514188946
0.30000000000000004,0.029332073696940814,-0.5602757616364435,-0.19790368629653016,3,-0.308151668900044,0.0,1,-0.0014830931930635784,-0.308151668900044,0.0,1,-0.0014830931930635784,-0.308151668900044,0.0,1,-0.0014830931930635784,0.308151668900044,0.005937110588895905,0,0.060147240586945205,0.308151668900044,0.005937110588895905,0,0.060147240586945205,0.308151668900044,0.005937110588895905,0,0.060147240586945205
0.35000000000000003,0.029857421946565904,-0.5698275479932633,-0.09066444147066507,3,-0.3134051513962948,0.0,1,-0.0014830931930635784,-0.3134051513962948,0.0,1,-0.0014830931930635784,-0.3134051513962948,0.0,1,-0.0014830931930635784,0.3134051513962948,0.002719933244119952,0,0.061197937086195385,0.3134051513962948,0.002719933244119952,0,0.061197937086195385,0.3134051513962948,0.002719933244119952,0,0.061197937086195385
0.4,0.029857421946565904,-0.5608890041842385,0.026778671892503124,3,-0.30848895230133117,0.0008033601567750937,0,-0.000991473283567211,-0.30848895230133117,0.0008033601567750937,0,-0.000991473283567211,-0.30848895230133117,0.0008033601567750937,0,-0.000991473283567211,0.30848895230133117,0.0,1,0.06070631717669902,0.30848895230133117,0.0,1,0.06070631717669902,0.30848895230133117,0.0,1,0.06070631717669902
0.45,0.03121451509617561,-0.5362145832822438,0.15029667820173503,3,-0.2949180208052341,0.0045089003460520504,0,0.0017227130156522025,-0.2949180208052341,0.0045089003460520504,0,0.0017227130156522025,-0.2949180208052341,0.0045089003460520504,0,0.0017227130156522025,0.2949180208052341,0.0,1,0.06070631717669902,0.2949180208052341,0.0,1,0.06070631717669902,0.2949180208052341,0.0,1,0.06070631717669902
0.5,0.033374663226108096,-0.49693916273801675,0.2721766839284162,3,-0.27331653950590923,0.008165300517852485,0,0.0060430092755171735,-0.27331653950590923,0.008165300517852485,0,0.0060430092755171735,-0.27331653950590923,0.008165300517852485,0,0.0060430092755171735,0.27331653950590923,0.0,1,0.06070631717669902,0.27331653950590923,0.0,1,0.06070631717669902,0.27331653950590923,0.0,1,0.06070631717669902
0.55,0.03632809346246273,-0.4432404311679326,0.3816808314103468,3,-0.24378223714236294,0.011450424942310404,0,0.011949869748226434,-0.24378223714236294,0.011450424942310404,0,0.011949869748226434,-0.24378223714236294,0.011450424942310404,0,0.011949869748226434,0.24378223714236294,0.0,1,0.06070631717669902,0.24378223714236294,0.0,1,0.06070631717669902,0.24378223714236294,0.0,1,0.06070631717669902
0.6000000000000001,0.04007158769790241,-0.37517689961448375,0.46865391774271226,3,-0.20634729478796607,0.014059617532281367,0,0.0194368582191058,-0.20634729478796607,0.014059617532281367,0,0.0194368582191058,-0.20634729478796607,0.014059617532281367,0,0.0194368582191058,0.20634729478796607,0.0,1,0.06070631717669902,0.20634729478796607,0.0,1,0.06070631717669902,0.20634729478796607,0.0,1,0.06070631717669902
0.65,0.044580988551794154,-0.29318779318008836,0.5279026370889154,3,-0.1612532862490486,0.015837079112667463,0,0.028455659926889292,-0.1612532862490486,0.015837079112667463,0,0.028455659926889292,-0.1612532862490486,0.015837079112667463,0,0.028455659926889292,0.1612532862490486,0.0,1,0.06070631717669902,0.1612532862490486,0.0,1,0.06070631717669902,0.1612532862490486,0.0,1,0.06070631717669902
0.7000000000000001,0.04981304315174306,-0.19805952772647206,0.5602447778492974,3,-0.10893274024955964,0.01680734333547892,0,0.038919769126787095,-0.10893274024955964,0.01680734333547892,0,0.038919769126787095,-0.10893274024955964,0.01680734333547892,0,0.038919769126787095,0.10893274024955964,0.0,1,0.06070631717669902,0.10893274024955964,0.0,1,0.06070631717669902,0.10893274024955964,0.0,1,0.06070631717669902
0.75,0.055710239189650346,-0.09083778158270309,0.5698279897803475,3,-0.0499607798704867,0.017094839693410427,0,0.05071416120260168,-0.0499607798704867,0.017094839693410427,0,0.05071416120260168,-0.0499607798704867,0.017094839693410427,0,0.05071416120260168,0.0499607798704867,0.0,1,0.06070631717669902,0.0499607798704867,0.0,1,0.06070631717669902,0.0499607798704867,0.0,1,0.06070631717669902
0.8,0.062168878722711894,0.02659202810932504,0.5609152939016011,3,0.014625615460128772,0.016827458817048033,0,0.06363144026872478,0.014625615460128772,0.016827458817048033,0,0.06363144026872478,0.014625615460128772,0.016827458817048033,0,0.06363144026872478,-0.014625615460128772,0.0,1,0.06070631717669902,-0.014625615460128772,0.0,1,0.06070631717669902,-0.014625615460128772,0.0,1,0.06070631717669902
0.8500000000000001,0.06896212614906845,0.15010561767944428,0.5362638352600133,3,0.08255808972369436,0.016087915057800398,0,0.07721793512143789,0.08255808972369436,0.016087915057800398,0,0.07721793512143789,0.08255808972369436,0.016087915057800398,0,0.07721793512143789,-0.08255808972369436,0.0,1,0.06070631717669902,-0.08255808972369436,0.0,1,0.06070631717669902,-0.08255808972369436,0.0,1,0.06070631717669902
0.9,0.0756660928816377,0.2719959219079759,0.4970105869745369,3,0.14959775704938674,0.014910317609236107,0,0.09062586858657637,0.14959775704938674,0.014910317609236107,0,0.09062586858657637,0.14959775704938674,0.014910317609236107,0,0.09062586858657637,-0.14959775704938674,0.0,1,0.06070631717669902,-0.14959775704938674,0.0,1,0.06070631717669902,-0.14959775704938674,0.0,1,0.06070631717669902
0.9500000000000001,0.08169033905561919,0.38152767052582126,0.4433340414055394,3,0.2098402187892017,0.013300021242166182,0,0.10267436093453935,0.2098402187892017,0.013300021242166182,0,0.10267436093453935,0.2098402187892017,0.013300021242166182,0,0.10267436093453935,-0.2098402187892017,0.0,1,0.06070631717669902,-0.2098402187892017,0.0,1,0.06070631717669902,-0.2098402187892017,0.0,1,0.06070631717669902
1.0,0.08647607336457448,0.46854102159773586,0.37529236727720666,3,0.25769756187875476,0.0112587710183162,0,0.11224582955244995,0.25769756187875476,0.0112587710183162,0,0.11224582955244995,0.25769756187875476,0.0112587710183162,0,0.11224582955244995,-0.25769756187875476,0.0,1,0.06070631717669902,-0.25769756187875476,0.0,1,0.06070631717669902,-0.25769756187875476,0.0,1,0.06070631717669902
1.05,0.0897371345567537,0.5278330432737215,0.29332412053215834,3,0.29030817380054685,0.00879972361596475,0,0.11876795193680838,0.29030817380054685,0.00879972361596475,0,0.11876795193680838,0.29030817380054685,0.00879972361596475,0,0.11876795193680838,-0.29030817380054685,0.0,1,0.06070631717669902,-0.29030817380054685,0.0,1,0.06070631717669902,-0.29030817380054685,0.0,1,0.06070631717669902
1.1,0.09151807289472863,0.5602137403278112,0.1982153404478088,3,0.3081175571802962,0.005946460213434264,0,0.12232982861275825,0.3081175571802962,0.005946460213434264,0,0.12232982861275825,0.3081175571802962,0.005946460213434264,0,0.12232982861275825,-0.3081175571802962,0.0,1,0.06070631717669902,-0.3081175571802962,0.0,1,0.06070631717669902,-0.3081175571802962,0.0,1,0.06070631717669902
1.1500000000000001,0.09204687852829374,0.5698283882108129,0.09101109714274548,3,0.31340561351594715,0.0027303329142823645,0,0.12338743987988846,0.31340561351594715,0.0027303329142823645,0,0.12338743987988846,0.31340561351594715,0.0027303329142823645,0,0.12338743987988846,-0.31340561351594715,0.0,1,0.06070631717669902,-0.31340561351594715,0.0,1,0.06070631717669902,-0.31340561351594715,0.0,1,0.06070631717669902
1.2000000000000002,0.09204687852829374,0.5609415467764031,-0.02640539945410992,3,0.3085178507270217,0.0,1,0.12289866360099591,0.3085178507270217,0.0,1,0.12289866360099591,0.3085178507270217,0.0,1,0.12289866360099591,-0.3085178507270217,0.0007921619836232975,0,0.06119509345559157,-0.3085178507270217,0.0007921619836232975,0,0.06119509345559157,-0.3085178507270217,0.0007921619836232975,0,0.06119509345559157
1.25,0.09340144568948756,0.5363130529365153,-0.14991455401696385,3,0.29497217911508344,0.0,1,0.12289866360099591,0.29497217911508344,0.0,1,0.12289866360099591,0.29497217911508344,0.0,1,0.12289866360099591,-0.29497217911508344,0.004497436620508916,0,0.06390422777797922,-0.29497217911508344,0.004497436620508916,0,0.06390422777797922,-0.29497217911508344,0.004497436620508916,0,0.06390422777797922
1.3,0.09555915485764375,0.4970819771518574,-0.27181513061306833,3,0.2733950874335216,0.0,1,0.12289866360099591,0.2733950874335216,0.0,1,0.12289866360099591,0.2733950874335216,0.0,1,0.12289866360099591,-0.2733950874335216,0.008154453918392049,0,0.0682196461142916,-0.2733950874335216,0.008154453918392049,0,0.0682196461142916,-0.2733950874335216,0.008154453918392049,0,0.0682196461142916
1.35,0.09851014463217961,0.4434276176148419,-0.3813744553587017,3,0.24388518968816306,0.0,1,0.12289866360099591,0.24388518968816306,0.0,1,0.12289866360099591,0.24388518968816306,0.0,1,0.12289866360099591,-0.24388518968816306,0.01144123366076105,0,0.0741216256633633,-0.24388518968816306,0.01144123366076105,0,0.0741216256633633,-0.24388518968816306,0.01144123366076105,0,0.0741216256633633
1.4000000000000001,0.10225123449269434,0.3754078019691195,-0.46842805866314624,3,0.20647429108301574,0.0,1,0.12289866360099591,0.20647429108301574,0.0,1,0.12289866360099591,0.20647429108301574,0.0,1,0.12289866360099591,-0.20647429108301574,0.014052841759894387,0,0.08160380538439277,-0.20647429108301574,0.014052841759894387,0,0.08160380538439277,-0.20647429108301574,0.014052841759894387,0,0.08160380538439277
1.4500000000000002,0.10675834067638806,0.2934604168110516,-0.5277633852233716,3,0.1614032292460784,0.0,1,0.12289866360099591,0.1614032292460784,0.0,1,0.12289866360099591,0.1614032292460784,0.0,1,0.12289866360099591,-0.1614032292460784,0.015832901556701147,0,0.09061801775178022,-0.1614032292460784,0.015832901556701147,0,0.09061801775178022,-0.1614032292460784,0.015832901556701147,0,0.09061801775178022
1.5,0.11198825175590583,0.19837112445618288,-0.5601826490543758,3,0.1091041184509006,0.0,1,0.12289866360099591,0.1091041184509006,0.0,1,0.12289866360099591,0.1091041184509006,0.0,1,0.12289866360099591,-0.1091041184509006,0.016805479471631274,0,0.10107783991081577,-0.1091041184509006,0.016805479471631274,0,0.10107783991081577,-0.1091041184509006,0.016805479471631274,0,0.10107783991081577
1.55,0.11788352225321659,0.09118438814144195,-0.5698287432712842,3,0.050151413477793075,0.0,1,0.12289866360099591,0.050151413477793075,0.0,1,0.12289866360099591,0.050151413477793075,0.0,1,0.12289866360099591,-0.050151413477793075,0.017094862298138527,0,0.11286838090543728,-0.050151413477793075,0.017094862298138527,0,0.11286838090543728,-0.050151413477793075,0.017094862298138527,0,0.11286838090543728
1.6,0.12434069682810873,-0.026218785947505912,-0.5609677628019619,3,-0.014420332271128253,0.0,1,0.12289866360099591,-0.014420332271128253,0.0,1,0.12289866360099591,-0.014420332271128253,0.0,1,0.12289866360099591,0.014420332271128253,0.016829032884058858,0,0.12578273005522156,0.014420332271128253,0.016829032884058858,0,0.12578273005522156,0.014420332271128253,0.016829032884058858,0,0.12578273005522156
1.6500000000000001,0.13113345539972726,-0.14972348724966106,-0.5363622363101532,3,-0.08234791798731358,0.0,1,0.12289866360099591,-0.08234791798731358,0.0,1,0.12289866360099591,-0.08234791798731358,0.0,1,0.12289866360099591,0.08234791798731358,0.016090867089304597,0,0.1393682471984586,0.08234791798731358,0.016090867089304597,0,0.1393682471984586,0.08234791798731358,0.016090867089304597,0,0.1393682471984586
1.7000000000000002,0.13783855065573694,-0.2716343100862004,-0.49715333327025835,3,-0.14939887054741025,0.0,1,0.12289866360099591,-0.14939887054741025,0.0,1,0.12289866360099591,-0.14939887054741025,0.0,1,0.12289866360099591,0.14939887054741025,0.01491459999810775,0,0.15277843771047797,0.14939887054741025,0.01491459999810775,0,0.15277843771047797,0.14939887054741025,0.01491459999810775,0,0.15277843771047797
