t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A1,0.0,0.1,0.0,0.09966799462495582,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
1,A1,0.04269379977288557,0.10098033241948963,0.04266787848088215,0.10063849357113332,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
2,A1,0.08633921329495678,0.08368639005730186,0.08612531367790499,0.08349157237503156,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
3,A1,0.12302379840960988,0.047698259135282896,0.12240688379013633,0.0476621188741832,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
4,A1,0.14443518031738498,-0.0041445439048020255,0.143439112094309,-0.004144520174350854,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
5,A1,0.1435524408873666,-0.06564269483798744,0.14257442557141256,-0.06554857307202717,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
6,A1,0.11637331801676831,-0.12748486336390163,0.11585081009409354,-0.126798679282273,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
7,A1,0.06306072388910391,-0.17809412279993359,0.06297726639375743,-0.17623480729298277,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
8,A1,-0.011685479221789016,-0.20553226041190584,-0.011684947365122468,-0.20268620696688774,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
9,A1,-0.09866150355695104,-0.20034962906937698,-0.09834261839562082,-0.19771130558925112,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
10,A1,-0.18432915460361837,-0.15818852743950187,-0.18226947779379732,-0.15688211961548354,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
11,A1,-0.2518714894868379,-0.08087081545223217,-0.246677082263705,-0.0806949746723917,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
12,A1,-0.28449161604281104,0.023909145565663467,-0.27705705634554206,0.023904590741457198,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
13,A1,-0.2704653177743367,0.14289955428820952,-0.2640577614288096,0.14193475104977182,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
14,A1,-0.20673543962060326,0.25691544847627457,-0.2038396756795839,0.25140819174622747,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
15,A1,-0.09883039432863523,0.3420353063491372,-0.09850987299940256,0.32929321918093246,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
16,A1,0.04124913980328915,0.37582676034382895,0.041225760694175675,0.3590777725171471,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
17,A1,0.19558320216271394,0.34614630895795107,0.19312691166038407,0.3329534736345574,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
18,A1,0.3382938404904268,0.25460962514744123,0.3259533562636057,0.24924686136963067,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
19,A1,0.4370126440888218,0.11290328084100673,0.41116517175712547,0.11242598265366419,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
20,A1,0.46473783575493566,-0.06222047949257396,0.43393779700629004,-0.06214031042920432,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
21,A1,0.41303306216496505,-0.2488401890335108,0.3910449811342495,-0.24382811358179873,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
22,A1,0.29174765314649015,-0.4145467182812086,0.2837425581598687,-0.3923264152741993,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
23,A1,0.11942161041764382,-0.5190362261337822,0.11885711913117628,-0.4769558265091447,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
24,A1,-0.0838867601245992,-0.5341496049599874,-0.0836905423628426,-0.488546676100502,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
25,A1,-0.294066443973301,-0.45912972031529237,-0.2858732578192737,-0.42937464405702924,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
26,A1,-0.4735643760363104,-0.31257154091289213,-0.441074760874864,-0.3027747133162231,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
27,A1,-0.5765790630969244,-0.11782251381109557,-0.5201745774821991,-0.11728031463623051,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
28,A1,-0.5772619810120493,0.1039975183482434,-0.5206725334117347,0.10362420546313204,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
29,A1,-0.48313979434567983,0.3280240133868223,-0.4487546403089046,0.3167441490859701,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
30,A1,-0.3189828549526348,0.513143365827543,-0.3085869237911051,0.47239073653765373,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
31,A1,-0.11029673734075945,0.6107970986413829,-0.10985163626010067,0.5446879536984932,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
32,A1,0.12202456499000518,0.5989159771619562,0.12142250225463272,0.5362777514237113,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
33,A1,0.352741315957142,0.4913264061650871,0.33880443869018123,0.4552685500936351,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
34,A1,0.5382844248708236,0.31613278444654797,0.4916882420336509,0.3060059908561198,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
35,A1,0.6292431273070273,0.0994155381597143,0.5575308297623058,0.09908930501458696,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
