t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A2,0.1,0.0,0.09966799462495582,0.0,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
1,A2,0.12698565153609362,-0.02574126593197345,0.12630746268193063,-0.025735581941293183,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
2,A2,0.15427990742396946,-0.0654108036496166,0.15306737880914417,-0.06531767472536713,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
3,A2,0.17815148442237735,-0.12275310275176615,0.17629038677566441,-0.12214023525695823,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
4,A2,0.193064036453448,-0.20114777221673547,0.19070053045678625,-0.19847812834331208,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
5,A2,0.19170800914443087,-0.3021305648268408,0.18939348017999538,-0.2932611587403219,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
6,A2,0.16556308837942527,-0.42255477709209927,0.1640667354768359,-0.3990805093362424,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
7,A2,0.10596464612913835,-0.5508366468945913,0.10556981116738202,-0.5011469982829072,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
8,A2,0.005073776207946329,-0.6657701795411215,0.005073732669974289,-0.5821906281873133,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
9,A2,-0.14389807468710286,-0.7430716432008476,-0.1429130168127852,-0.630997390365154,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
10,A2,-0.34505133077213423,-0.7670351254667805,-0.33197952786877616,-0.6452021203505991,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
11,A2,-0.5896070872501038,-0.7363029485091468,-0.5296129616621008,-0.6269062929123144,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
12,A2,-0.8366839215808345,-0.6619496681822843,-0.6840486514010432,-0.5796594458875055,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
13,A2,-1.0212459075767566,-0.5618669701309711,-0.7703735143912067,-0.5093613339840537,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
14,A2,-1.1130753520437358,-0.4500059575908789,-0.8051467932337697,-0.42190390238472547,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
15,A2,-1.1347918767263891,-0.3295967209398768,-0.8126529098026267,-0.31815836618240095,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
16,A2,-1.1175609457730837,-0.195477322815839,-0.8067188617122979,-0.1930249793178661,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
17,A2,-1.077682238810014,-0.03757914487834227,-0.7923380081430456,-0.03756146520756477,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
18,A2,-1.0192082046780002,0.1567806827295667,-0.7695438366634936,0.1555086223278301,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
19,A2,-0.9403022207369409,0.3968816310641555,-0.7353610768503678,0.3772776084271247,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
20,A2,-0.839474121299076,0.6706061279032677,-0.6855304217311434,0.5853784515581514,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
21,A2,-0.7222393219589571,0.9228748436512603,-0.6182944743335488,0.7272545896484931,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
22,A2,-0.5999325369896659,1.086272286250145,-0.5370015600808195,0.7955135364770414,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
23,A2,-0.47872908115956336,1.1522445608681775,-0.4452251967128017,0.8184962886338185,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
24,A2,-0.3558622924868533,1.157823482999476,-0.34156423599661495,0.8203292998687306,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
25,A2,-0.22331584450455652,1.133386368158489,-0.2196761800572815,0.8121750602911018,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
26,A2,-0.07012590819715603,1.0915171171204294,-0.07001118247007412,0.7974312004898388,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
27,A2,0.11675235382506056,1.0340781652466329,0.1162247422694529,0.7755387978255058,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
28,A2,0.3483788872019333,0.9580861729392894,0.334937074889595,0.7434219844133207,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
29,A2,0.6187425151972115,0.8606797103178782,0.5502518880806015,0.6966077108966069,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
30,A2,0.880981494448049,0.7454248892253365,0.7069106805416879,0.6324115708334825,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
31,A2,1.0639984096071937,0.6231731638325397,0.7871893791272145,0.5533335045305938,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
32,A2,1.145856917355488,0.501687273139022,0.8163769067200576,0.46344307429563897,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
33,A2,1.1598283406185654,0.3796208183488958,0.8209839307688992,0.36237812453690665,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
34,A2,1.1395960302841952,0.2496654683640745,0.8142780204104422,0.24460417194311562,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
35,A2,1.1006346260320081,0.10134319562368332,0.800726864487912,0.10099766852607314,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
36,A2,1.0462800102067975,-0.0781240602416931,0.7803558926560396,-0.07796550732956369,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
37,A2,0.9741047862616072,-0.3008774222143296,0.7505025653082429,-0.2921153685572478,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
38,A2,0.8807605508734518,-0.5660126576084503,0.706800130224239,-0.5124249402972704,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
39,A2,0.7681804843375728,-0.835419086469708,0.6458701886283889,-0.6833750787481512,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
40,A2,0.6463991506983202,-1.037487974855763,0.5692409082103925,-0.7768941524849658,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
41,A2,0.5246136317554799,-1.136848314765987,0.4812529699206828,-0.8133501002822161,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
42,A2,0.4030939005352139,-1.16057169130201,0.3825931068604282,-0.8212261043898705,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
43,A2,0.27535855926251096,-1.145125506551051,0.2686039039602531,-0.8161328144858873,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
44,A2,0.1314418935119182,-1.1091962081276037,0.13069011585092477,-0.8037780804147092,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
45,A2,-0.0410813503672493,-1.0578361956155222,-0.0410582552698065,-0.7848342922088836,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
46,A2,-0.25501102555833555,-0.9893426956914128,-0.24962328750142007,-0.7570819085856363,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
47,A2,-0.5135733164467792,-0.900117638958551,-0.4727246745379793,-0.7163551458237222,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
48,A2,-0.7873052869083343,-0.7906077940093392,-0.6568797780704758,-0.6587532119934638,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
49,A2,-1.0070579687122292,-0.6696561822577775,-0.7645424249101652,-0.5847536745854683,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
50,A2,-1.1251176289677975,-0.5475683210526556,-0.809341652070188,-0.4986955003572347,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
51,A2,-1.159969465947872,-0.4263524564241634,-0.8210299302338874,-0.4022685033235076,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
52,A2,-1.1499571309002028,-0.3004773832102979,-0.8177398758712923,-0.2917494226928902,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
53,A2,-1.1172215395584635,-0.1605162316965906,-0.8066003070179942,-0.15915170152266891,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
54,A2,-1.0687827340075917,0.0055477236690498755,-0.789002173888386,0.005547666755213465,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
55,A2,-1.003824261999466,0.2108439016502518,-0.7631955758717471,0.20777411149243097,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
56,A2,-0.918715372355897,0.4618328217601576,-0.7252891253685535,0.4315768334123479,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
