run,alpha,phi_rad,amplitude_o1,amplitude_o2,period_o1_steps,period_o2_steps,frequency_o1_cycles_per_step,lag_o2_relative_to_o1_steps,phase_lag_deg,status
A0_IC1,1.1,0.2,0.5698300011866867,0.5698299835177079,32.0,32.0,0.03125,-8.0,-90.0,ok
A0_IC2,1.1,0.2,0.5698299835177079,0.5698300011866867,32.0,32.0,0.03125,-8.0,-90.0,ok
A0_IC3,1.1,0.2,0.5697843144814034,0.5697862953054917,32.0,32.0,0.03125,-8.0,-90.0,ok
A1_IC1,1.1,0.4,0.5704224668398855,0.5704261191502581,15.76,15.76,0.06345177664974619,-3.9591836734693877,-90.43820573914844,ok
A1_IC2,1.1,0.4,0.5704261191502581,0.5704224668398855,15.76,15.76,0.06345177664974619,-3.9183673469387754,-89.50585310266237,ok
A1_IC3,1.1,0.4,0.5704263419290098,0.5704256022699952,15.76,15.76,0.06345177664974619,-3.9591836734693877,-90.43820573914844,ok
A2_IC1,1.3,0.2,0.8212273121172085,0.8212181815981503,36.76190476190476,36.76190476190476,0.027202072538860107,-9.15,-89.60362694300518,ok
A2_IC2,1.3,0.2,0.8212181815981503,0.8212273121172085,36.76190476190476,36.76190476190476,0.027202072538860107,-9.2,-90.09326424870466,ok
A2_IC3,1.3,0.2,0.8212268079963989,0.8212210467915005,36.714285714285715,36.76190476190476,0.027237354085603113,-9.2,-90.15165262475695,ok
