t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A0,0.1,0.1,0.09966799462495582,0.09966799462495582,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
1,A0,0.129230468626826,0.0856683262804094,0.12851583704889707,0.08545936463565981,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
2,A0,0.15722545453697817,0.06404608286987508,0.1559426082034175,0.06395865608875129,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
3,A0,0.18209483794179107,0.034873000340219805,0.18010851351142976,0.034858870557706596,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
4,A0,0.20178809525951036,-0.0017798262623973382,0.1990931485300797,-0.0017798243830328027,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
5,A0,0.21424803865564376,-0.04542785387424902,0.21102897691478695,-0.045396629980714295,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
6,A0,0.21758388204475354,-0.09505837595402603,0.2142140104768229,-0.09477308823098846,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
7,A0,0.21022703477317956,-0.1489858593985823,0.20718379922382116,-0.14789322381266085,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
8,A0,0.19103927621399697,-0.20471689974049406,0.1887486530528486,-0.20190421363597164,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
9,A0,0.15936147860807637,-0.25891595433045356,0.15802599109636586,-0.25328130889863293,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
10,A0,0.11501244057819697,-0.30759020989705244,0.11450798667095305,-0.29824323651453294,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
11,A0,0.05827103306155566,-0.34655219858347264,0.058205169161003024,-0.33331431835641534,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
12,A0,-0.010091830781984834,-0.3720571858773968,-0.010091488194942554,-0.35578980016749623,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
13,A0,-0.08863233698388044,-0.381362104942018,-0.08840097453943598,-0.36388979362503543,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
14,A0,-0.17482584061506795,-0.3729810285256695,-0.17306621995076393,-0.35659643155326526,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
15,A0,-0.2645073115824248,-0.34661582366615395,-0.25850651831295157,-0.33337087359254364,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
16,A0,-0.3515425838274068,-0.30290516765783354,-0.33774287653091045,-0.29396898316396913,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
17,A0,-0.4283544389867565,-0.24311102646576446,-0.40394517265069524,-0.23843208319731693,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
18,A0,-0.48758853594455376,-0.1687705785681779,-0.4523003889884583,-0.1671862344751103,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
19,A0,-0.5241491988848469,-0.08139496759405208,-0.4808960220005152,-0.08121569163158768,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
20,A0,-0.5361897042546186,0.017536756499316644,-0.4900983002409001,0.01753495898176717,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
21,A0,-0.5245298358921301,0.1260082214319541,-0.48118857895320677,0.12534550762891966,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
22,A0,-0.49136398932737035,0.2402887912441595,-0.4552983429046591,0.23576850636867192,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
23,A0,-0.4393209891889965,0.3536749153260996,-0.4130814532572422,0.33963061007249684,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
24,A0,-0.37111045426718003,0.4564199481889881,-0.3549626335128732,0.42716188337705996,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
25,A0,-0.2893253527744779,0.5380840014911128,-0.2815137492788037,0.49153625749915286,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
26,A0,-0.19607394128527578,0.5914330465460061,-0.19359930238446646,0.5309254870988065,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
27,A0,-0.0926877539900774,0.6146850259844077,-0.09242323550492948,0.5474165992254766,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
28,A0,0.0199913618298925,0.6103530129444903,0.019988699042678932,0.5443755460047099,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
29,A0,0.1405150794214295,0.5825084506681227,0.13959752597787067,0.5244862328906204,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
30,A0,0.26511561830582153,0.5349274483600136,0.25907408524178316,0.4891386404330795,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
31,A0,0.3861953683402216,0.470710194105622,0.36807566207499093,0.4387729598139017,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
32,A0,0.49270032329505004,0.39259150447846536,0.4563570146511782,0.37359218907477376,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
33,A0,0.5736297245984503,0.3030291831053851,0.5180199764082608,0.294082277343046,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
34,A0,0.6227311142473031,0.203836082018641,0.5530267257704206,0.20105915265512558,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
35,A0,0.6401420276776567,0.095900096782353,0.5649962500991372,0.09560718204009216,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
36,A0,0.6300009718231928,-0.02040062550882056,0.5580528847350643,-0.020397795831568175,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
37,A0,0.597164221004093,-0.14394511022618983,0.5350286173290413,-0.14295909138214283,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
38,A0,0.5455582869185289,-0.2710435253054734,0.4971838428462636,-0.264595570399026,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
39,A0,0.4781768667651617,-0.3939061021866397,0.44478233644296195,-0.3747227510068285,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
40,A0,0.39761742260424204,-0.5011796386840157,0.37790849333517507,-0.46304437554299843,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
41,A0,0.3062210443408603,-0.5817824583997033,0.2969953481154802,-0.5239597504145291,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
42,A0,0.20567852963229566,-0.6297712372321341,0.202826463040129,-0.5578946745042389,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
43,A0,0.09674156347844635,-0.6457762543286281,0.09644088984478859,-0.5688197029019461,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
44,A0,-0.020337390528871957,-0.6343051293463792,-0.020334587080356584,-0.5610095086012624,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
45,A0,-0.14452309609665262,-0.6003654914663863,-0.14352521793979342,-0.5373095915469054,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
46,A0,-0.2721523267788194,-0.5478936249911706,-0.2656264409132432,-0.49893986246551586,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
47,A0,-0.3954012100642945,-0.47984470192719514,-0.3760071995415711,-0.44611922858421993,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
48,A0,-0.5028565276856136,-0.39877799165672834,-0.46436069929159396,-0.37890287934337874,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
49,A0,-0.5834188612055643,-0.30700540080811756,-0.5251458872435617,-0.2977103527433352,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
50,A0,-0.6312062340413283,-0.20619014307387362,-0.5588822423231792,-0.2033169784912554,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
51,A0,-0.6469481201766544,-0.09705455567649247,-0.5696118762844014,-0.09675096158112424,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
52,A0,-0.6352269121867709,0.020176229100147255,-0.5616408505260879,0.02017349176460745,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
53,A0,-0.6010813294665005,0.14448739465383761,-0.5378185701194255,0.14349025174927393,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
54,A0,-0.5484499825483494,0.2722258609402993,-0.49935760382015226,0.2656947853599594,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
55,A0,-0.4802801219610005,0.39556618201801097,-0.4464679225370695,0.37614883873992766,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
56,A0,-0.3991229559734929,0.5030854273881687,-0.37919827940999956,0.46454022206967643,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
57,A0,-0.30728463147654084,0.5836769555347077,-0.2979648136316666,0.5253327794474468,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
58,A0,-0.2064236278231128,0.6314633264561219,-0.2035408008668566,0.5590590066843765,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
59,A0,-0.09725722316608,0.647187598409209,-0.09695172801186702,0.5697736318947931,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
60,A0,0.0199951376513072,0.6354451713267325,0.019992473355186516,0.5617902435903598,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
61,A0,0.1443248913536002,0.6012819452175674,0.14333109059313154,0.5379611426175985,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
62,A0,0.27208543081879305,0.5486384686271832,0.26556426385388343,0.4994990760669115,1.1,0.2,1.078073235625366,0.21853626387456734,-0.21853626387456734,1.078073235625366
