t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A1,0.1,0.1,0.09966799462495582,0.09966799462495582,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
1,A1,0.1436741321923752,0.05828653264660406,0.14269364113146893,0.0582206162219737,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
2,A1,0.16951189507536998,-0.0021370607923835577,0.16790674083887783,-0.002137057539050084,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
3,A1,0.16920215423382323,-0.07408975752319111,0.1676057167738783,-0.0739544877542633,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
4,A1,0.13813343947124018,-0.14672386782839814,0.13726152592737795,-0.14567997080778908,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
5,A1,0.07666536324642989,-0.20639552406872178,0.07651551332295384,-0.2035138612648103,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
6,A1,-0.009654233305963683,-0.23896974607995677,-0.00965393337871481,-0.2345223958848163,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
7,A1,-0.11024110252491046,-0.23347501357016076,-0.10979667247496779,-0.22932323028998994,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
8,A1,-0.20947531492843546,-0.1853102286779072,-0.20646423511624679,-0.18321778858467722,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
9,A1,-0.28766597324774923,-0.09718917811660309,-0.27998516290668335,-0.09688432211661485,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
10,A1,-0.32517313902396294,0.02177448677592443,-0.31417698279414785,0.02177104612849957,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
11,A1,-0.3089879313086717,0.15663861534071186,-0.2995161005287854,0.15536998748303926,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
12,A1,-0.2369055417330253,0.28571652831921623,-0.23257078232531372,0.2781875593804998,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
13,A1,-0.11646859149171244,0.3814745423332685,-0.11594480382690824,0.3639873385397646,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
14,A1,0.038446220706532225,0.4184461304600242,0.03842728929427772,0.3956205736281259,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
15,A1,0.20840136376365473,0.38436902624727276,0.20543583614956945,0.36649569189817566,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
16,A1,0.3651329882749844,0.28332084386468714,0.3497272731829509,0.2759758031240449,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
17,A1,0.47254920860143856,0.12980036581946286,0.4402567251562533,0.12907628052890982,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
18,A1,0.5013447648921889,-0.05781260853987344,0.46317408710637736,-0.0577482855501669,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
19,A1,0.44453567778011294,-0.2569139963412959,0.4173969915689563,-0.2514068313945102,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
20,A1,0.31520022206375586,-0.43351337762121855,0.30516051227493446,-0.40825330243150343,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
21,A1,0.13429913254061981,-0.5443474227077532,0.13349749755232204,-0.496271745650404,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
22,A1,-0.07732778100669721,-0.5599912136978351,-0.0771740194035979,-0.5079709137934676,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
23,A1,-0.29578468723489226,-0.48160113768549256,-0.2874503039973405,-0.44752499136907925,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
24,A1,-0.4829370733075482,-0.3302853317640523,-0.44859272865364025,-0.3187771368882219,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
25,A1,-0.5910508216460074,-0.13081524478400908,-0.5306509487699689,-0.1300741198571562,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
26,A1,-0.5933566523221394,0.09552291615331435,-0.5323054522276335,0.09523343565856277,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
27,A1,-0.49852015652496684,0.32450584069016,-0.4609525421291321,0.31357542556771956,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
28,A1,-0.3326987226511347,0.5151580148078833,-0.32094361078952305,0.47395432035751334,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
29,A1,-0.12214634894992998,0.6176743829395281,-0.12154248892711972,0.5495067241728178,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
30,A1,0.11224394714504184,0.6088060925495464,0.11177493450751284,0.5432861307906942,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
31,A1,0.34596882840727905,0.5025596993411332,0.3327956589014894,0.4641278442091844,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
32,A1,0.535991495708767,0.327682651686274,0.4899476860341482,0.3164370019334428,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
33,A1,0.6319478829906733,0.11072948020940585,0.559392026301184,0.11027913670625492,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
34,A1,0.6139967838285991,-0.127890074741485,0.546934417520928,-0.12719735520389935,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
35,A1,0.49964967255133463,-0.3631570983053076,0.46184159843262507,-0.34799185571252417,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
36,A1,0.318856857149328,-0.5504084456181261,0.3084729198086808,-0.500826270229028,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
37,A1,0.0980005820252178,-0.6395582108948031,0.09768804636511388,-0.564598668656165,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
38,A1,-0.14287727138355344,-0.6138784608484289,-0.14191291697573083,-0.5468514839858448,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
39,A1,-0.3780308958297397,-0.493262086384189,-0.3609961922721317,-0.4568016699498127,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
40,A1,-0.5614251068372162,-0.30818002755298435,-0.5090340380235356,-0.2987804958920684,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
41,A1,-0.6437222027144767,-0.08466465619614161,-0.5674286283585153,-0.08446293952633896,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
42,A1,-0.6110805737942956,0.15748875647703992,-0.544887295250274,0.15619949658757518,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
43,A1,-0.4851522332274,0.39166420793621903,-0.45036036050558903,0.3727940400783858,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
44,A1,-0.29660017661659654,0.5706190975568184,-0.28819823589508675,0.5158138011566596,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
45,A1,-0.07103887806076195,0.6460582168615319,-0.07091961903400101,0.5690104042157598,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
46,A1,0.1718879729207448,0.6068817578849662,0.17021490548911083,0.5419283645789732,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
47,A1,0.4045966709711183,0.47615069900824125,0.38387516745342737,0.4431555442969367,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
48,A1,0.5787598748279466,0.28455378024134254,0.5217634967118515,0.27711444779359196,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
49,A1,0.6473383991859364,0.057260536047695376,0.569875467656293,0.057198036658221006,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
50,A1,0.6018804322477301,-0.18616078738141076,0.5383862892578181,-0.18403966681122075,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
51,A1,0.4666400076499357,-0.41708618020694677,0.43548051085280454,-0.39447286006670224,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
52,A1,0.272238059436245,-0.5862094295686434,0.26570612268196475,-0.5271639151100906,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
53,A1,0.04338867227529267,-0.6479230532388046,0.043361465259042935,-0.5702701190649008,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
54,A1,-0.2003485991556443,-0.596353243901043,-0.19771031593439792,-0.5344495358463704,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
55,A1,-0.4292504836576906,-0.45679545696680035,-0.40469473667965417,-0.4274688248428224,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
56,A1,-0.5931340113520986,-0.2597422379377633,-0.5321458774657986,-0.25405442326300676,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
57,A1,-0.6479794895380909,-0.029449479567575293,-0.5703082006020237,-0.02944096895179279,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
58,A1,-0.590428840605631,0.21446870055195538,-0.5302039641660627,0.21123980220359334,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
59,A1,-0.44669849032086667,0.44113948010180165,-0.4191813847254234,0.41458850989332285,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
60,A1,-0.24710757788181625,0.5996080474900318,-0.2421978227862298,0.5367706036010207,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
61,A1,-0.015455713621145839,0.647586214400909,-0.01545448305649308,0.5700427792538223,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
62,A1,0.22852565187784776,0.5841686708624685,0.22462886149795355,0.5256887019006451,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
63,A1,0.45277067584933484,0.4363884353724303,0.42417383922663865,0.4106463566798989,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
64,A1,0.605663521629629,0.2343541949594091,0.5410673396658208,0.23015600816609172,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
65,A1,0.6467812921542646,0.0014147926838992408,0.5694991661872355,0.0014147917399322375,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
66,A1,0.5776038553409364,-0.2425173429321532,0.5209216812895072,-0.2378720712827797,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
67,A1,0.4258857832742727,-0.4641462584238011,0.40187727378252,-0.43345749163457875,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
68,A1,0.2214929017440635,-0.6113130868579362,0.21794051504647907,-0.5450507539699504,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
69,A1,-0.01266787902913219,-0.6455845256573658,-0.012667201445992055,-0.5686899950205004,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
70,A1,-0.2564381383338261,-0.570751864654719,-0.25096099687701107,-0.5159112370524084,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
71,A1,-0.47526125234593386,-0.415202591571655,-0.44244049159190957,-0.39288119370405894,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
72,A1,-0.6165608043641727,-0.2085304099913702,-0.5487289235265104,-0.20555943284809444,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
73,A1,-0.6440075634597794,0.026787565453845613,-0.5676220786779137,0.02678115994192197,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
74,A1,-0.5636240292049147,0.27028048380652053,-0.5106613610601559,0.263885806896304,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
75,A1,-0.40434711607025353,0.48610740673911723,-0.3836623666172748,0.45112147382968815,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
76,A1,-0.1954716106633555,0.6214071115075253,-0.19301947998636726,0.5521069812135215,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
77,A1,0.04093965843334332,0.64205848392623,0.04091680137539615,0.5662995209575219,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
78,A1,0.2840357194924723,0.5562289113835451,0.2766361015522657,0.5051740831457583,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
79,A1,0.49667505437959925,0.39332586818526927,0.4594982469721006,0.3742238833932876,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
80,A1,0.6258511120642287,0.18232057402705845,0.5551887704511663,0.18032691804314613,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
81,A1,0.6397438632958788,-0.05511946030709153,0.5647251270770786,-0.05506370757406453,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
82,A1,0.5485738160750752,-0.29769449168585504,0.49945055271610256,-0.2892013423393042,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
83,A1,0.382144526734053,-0.5069540103604374,0.36456841707073734,-0.4675685167588146,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
84,A1,0.16908099108702968,-0.6298916265885142,0.16748795491209462,-0.557977587529461,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
85,A1,-0.06932209344088422,-0.6370697004757263,-0.0692112628206028,-0.5629010431499972,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
86,A1,-0.3112469642007236,-0.540665465001541,-0.30157108188804155,-0.4934915336915868,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
87,A1,-0.5169340169838421,-0.37080834093260523,-0.4753302147760662,-0.35469855768540226,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
88,A1,-0.6335276688998038,-0.15575637200837536,-0.5604765072104805,-0.1545089235512299,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
89,A1,-0.6340418235005408,0.08354245859567977,-0.5608290467905522,0.08334864252037169,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
90,A1,-0.532510296008501,0.3246829313731544,-0.4872976346806902,0.3137350941357151,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
91,A1,-0.35932230784106006,0.5266049742431624,-0.3446169648085563,0.48278164167725185,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
92,A1,-0.14235013931360405,0.636758656530459,-0.14139636237005096,0.5626885186344454,1.1,0.4,1.0131670934031738,0.42836017653951564,-0.42836017653951564,1.0131670934031738
