t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A2,0.1,0.1,0.09966799462495582,0.09966799462495582,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
1,A2,0.15272691746806707,0.10124438560412016,0.15155041544056097,0.10089986544526922,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
2,A2,0.21914776750954415,0.0894142160785861,0.21570563200636636,0.08917668968369473,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
3,A2,0.2978593199966022,0.057908499378702065,0.28935237763498495,0.05784385607652505,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
4,A2,0.383599313131158,-0.0010329971010333977,0.36582917805943516,-0.0010329967336023356,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
5,A2,0.46583124359902855,-0.09579887663319753,0.43482489269907154,-0.09550688614706215,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
6,A2,0.5293379720077894,-0.23398632076557807,0.4848748703748819,-0.2298075914419131,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
7,A2,0.5584201148319774,-0.41802345744007396,0.5068042824616654,-0.3952639959406519,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
8,A2,0.5436276367425531,-0.6344929493319812,0.49572903887002756,-0.5611382021275776,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
9,A2,0.48667646503013995,-0.8429706400220939,0.4515746063609244,-0.6873793053770431,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
10,A2,0.3978155902428835,-0.9924089608543973,0.378078346973892,-0.7583876380656672,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
11,A2,0.28583566327786947,-1.0638978340867846,0.2782974710418675,-0.7871511239211286,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
12,A2,0.15127744195444942,-1.0747745847788475,0.15013392062955025,-0.7912532819305668,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
13,A2,-0.013073478861624604,-1.0469002722989893,-0.013072734090959758,-0.7805983254732135,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
14,A2,-0.21826102571658343,-0.9911735316361103,-0.21485998782195342,-0.7578622762356682,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
15,A2,-0.4694834095045052,-0.9100902168150553,-0.43778182487150863,-0.7211755524685037,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
16,A2,-0.7440300391388662,-0.8057741036138429,-0.6315738447898106,-0.6672524473908238,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
