t,condition,a1,a2,o1,o2,alpha,phi,w11,w12,w21,w22
0,A2,0.0,0.1,0.0,0.09966799462495582,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
1,A2,0.02574126593197345,0.12698565153609362,0.025735581941293183,0.12630746268193063,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
2,A2,0.0654108036496166,0.15427990742396946,0.06531767472536713,0.15306737880914417,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
3,A2,0.12275310275176615,0.17815148442237735,0.12214023525695823,0.17629038677566441,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
4,A2,0.20114777221673547,0.193064036453448,0.19847812834331208,0.19070053045678625,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
5,A2,0.3021305648268408,0.19170800914443087,0.2932611587403219,0.18939348017999538,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
6,A2,0.42255477709209927,0.16556308837942527,0.3990805093362424,0.1640667354768359,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
7,A2,0.5508366468945913,0.10596464612913835,0.5011469982829072,0.10556981116738202,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
8,A2,0.6657701795411215,0.005073776207946329,0.5821906281873133,0.005073732669974289,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
9,A2,0.7430716432008476,-0.14389807468710286,0.630997390365154,-0.1429130168127852,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
10,A2,0.7670351254667805,-0.34505133077213423,0.6452021203505991,-0.33197952786877616,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
11,A2,0.7363029485091468,-0.5896070872501038,0.6269062929123144,-0.5296129616621008,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
12,A2,0.6619496681822843,-0.8366839215808345,0.5796594458875055,-0.6840486514010432,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
13,A2,0.5618669701309711,-1.0212459075767566,0.5093613339840537,-0.7703735143912067,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
14,A2,0.4500059575908789,-1.1130753520437358,0.42190390238472547,-0.8051467932337697,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
15,A2,0.3295967209398768,-1.1347918767263891,0.31815836618240095,-0.8126529098026267,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
16,A2,0.195477322815839,-1.1175609457730837,0.1930249793178661,-0.8067188617122979,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
17,A2,0.03757914487834227,-1.077682238810014,0.03756146520756477,-0.7923380081430456,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
18,A2,-0.1567806827295667,-1.0192082046780002,-0.1555086223278301,-0.7695438366634936,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
19,A2,-0.3968816310641555,-0.9403022207369409,-0.3772776084271247,-0.7353610768503678,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
20,A2,-0.6706061279032677,-0.839474121299076,-0.5853784515581514,-0.6855304217311434,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
21,A2,-0.9228748436512603,-0.7222393219589571,-0.7272545896484931,-0.6182944743335488,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
22,A2,-1.086272286250145,-0.5999325369896659,-0.7955135364770414,-0.5370015600808195,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
23,A2,-1.1522445608681775,-0.47872908115956336,-0.8184962886338185,-0.4452251967128017,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
24,A2,-1.157823482999476,-0.3558622924868533,-0.8203292998687306,-0.34156423599661495,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
25,A2,-1.133386368158489,-0.22331584450455652,-0.8121750602911018,-0.2196761800572815,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
26,A2,-1.0915171171204294,-0.07012590819715603,-0.7974312004898388,-0.07001118247007412,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
27,A2,-1.0340781652466329,0.11675235382506056,-0.7755387978255058,0.1162247422694529,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
28,A2,-0.9580861729392894,0.3483788872019333,-0.7434219844133207,0.334937074889595,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
29,A2,-0.8606797103178782,0.6187425151972115,-0.6966077108966069,0.5502518880806015,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
30,A2,-0.7454248892253365,0.880981494448049,-0.6324115708334825,0.7069106805416879,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
31,A2,-0.6231731638325397,1.0639984096071937,-0.5533335045305938,0.7871893791272145,1.3,0.2,1.2740865511936141,0.25827013003357957,-0.25827013003357957,1.2740865511936141
