time_s,modulator_m,alpha,phi_rad,stride_half_m,o1,o2,body_x_m,support_legs,LF_contact,LF_lift_m,RM_contact,RM_lift_m,LH_contact,LH_lift_m,RF_contact,RF_lift_m,LM_contact,LM_lift_m,RH_contact,RH_lift_m
0.0,0.0,1.1,0.2,0.055,-0.026965330782974153,-0.5608626776309884,0.0,3,1,0.0,1,0.0,1,0.0,0,0.016825880328929652,0,0.016825880328929652,0,0.016825880328929652
0.05,0.0,1.1,0.2,0.055,-0.15048773554844821,-0.5361652970047982,0.006793732262101074,3,1,0.0,1,0.0,1,0.0,0,0.016084958910143946,0,0.016084958910143946,0,0.016084958910143946
0.1,0.0,1.1,0.2,0.055,-0.2723574166318843,-0.4968677044420164,0.013496564721690057,3,1,0.0,1,0.0,1,0.0,0,0.014906031133260491,0,0.014906031133260491,0,0.014906031133260491
0.15000000000000002,0.0,1.1,0.2,0.055,-0.38183393798121756,-0.44314678690273707,0.01951777339590339,3,1,0.0,1,0.0,1,0.0,0,0.013294403607082112,0,0.013294403607082112,0,0.013294403607082112
0.2,0.0,1.1,0.2,0.055,-0.46876674709139377,-0.37506139898340285,0.02429907789696308,3,1,0.0,1,0.0,1,0.0,0,0.011251841969502085,0,0.011251841969502085,0,0.011251841969502085
0.25,0.0,1.1,0.2,0.055,-0.5279721666813912,-0.29305143475806883,0.027555375974412943,3,1,0.0,1,0.0,1,0.0,0,0.008791543042742064,0,0.008791543042742064,0,0.008791543042742064
0.30000000000000004,0.0,1.1,0.2,0.055,-0.5602757616364435,-0.19790368629653016,0.029332073696940814,3,1,0.0,1,0.0,1,0.0,0,0.005937110588895905,0,0.005937110588895905,0,0.005937110588895905
0.35000000000000003,0.0,1.1,0.2,0.055,-0.5698275479932633,-0.09066444147066507,0.029857421946565904,3,1,0.0,1,0.0,1,0.0,0,0.002719933244119952,0,0.002719933244119952,0,0.002719933244119952
0.4,0.0,1.1,0.2,0.055,-0.5608890041842385,0.026778671892503124,0.029857421946565904,3,0,0.0008033601567750937,0,0.0008033601567750937,0,0.0008033601567750937,1,0.0,1,0.0,1,0.0
0.45,0.0,1.1,0.2,0.055,-0.5362145832822438,0.15029667820173503,0.03121451509617561,3,0,0.0045089003460520504,0,0.0045089003460520504,0,0.0045089003460520504,1,0.0,1,0.0,1,0.0
0.5,0.0,1.1,0.2,0.055,-0.49693916273801675,0.2721766839284162,0.033374663226108096,3,0,0.008165300517852485,0,0.008165300517852485,0,0.008165300517852485,1,0.0,1,0.0,1,0.0
0.55,0.0,1.1,0.2,0.055,-0.4432404311679326,0.3816808314103468,0.03632809346246273,3,0,0.011450424942310404,0,0.011450424942310404,0,0.011450424942310404,1,0.0,1,0.0,1,0.0
0.6000000000000001,0.0,1.1,0.2,0.055,-0.37517689961448375,0.46865391774271226,0.04007158769790241,3,0,0.014059617532281367,0,0.014059617532281367,0,0.014059617532281367,1,0.0,1,0.0,1,0.0
0.65,0.0,1.1,0.2,0.055,-0.29318779318008836,0.5279026370889154,0.044580988551794154,3,0,0.015837079112667463,0,0.015837079112667463,0,0.015837079112667463,1,0.0,1,0.0,1,0.0
0.7000000000000001,0.0,1.1,0.2,0.055,-0.19805952772647206,0.5602447778492974,0.04981304315174306,3,0,0.01680734333547892,0,0.01680734333547892,0,0.01680734333547892,1,0.0,1,0.0,1,0.0
0.75,0.0,1.1,0.2,0.055,-0.09083778158270309,0.5698279897803475,0.055710239189650346,3,0,0.017094839693410427,0,0.017094839693410427,0,0.017094839693410427,1,0.0,1,0.0,1,0.0
0.8,0.0,1.1,0.2,0.055,0.02659202810932504,0.5609152939016011,0.062168878722711894,3,0,0.016827458817048033,0,0.016827458817048033,0,0.016827458817048033,1,0.0,1,0.0,1,0.0
0.8500000000000001,0.0,1.1,0.2,0.055,0.15010561767944428,0.5362638352600133,0.06896212614906845,3,0,0.016087915057800398,0,0.016087915057800398,0,0.016087915057800398,1,0.0,1,0.0,1,0.0
0.9,0.0,1.1,0.2,0.055,0.2719959219079759,0.4970105869745369,0.0756660928816377,3,0,0.014910317609236107,0,0.014910317609236107,0,0.014910317609236107,1,0.0,1,0.0,1,0.0
